,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,true_step11,true_step12,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10,pred_step11,pred_step12
109,592.0,850.0,869.0,472.0,869.0,363.0,214.0,356.0,275.0,713.0,211.0,166.0,836.0208,839.4405,808.3833,859.1111,762.17303,781.9531,741.0256,663.64307,596.39215,663.8629,667.3617,654.3922
110,850.0,869.0,472.0,869.0,363.0,214.0,356.0,275.0,713.0,211.0,166.0,150.0,781.85175,817.49536,805.5801,808.91205,740.89386,730.7632,700.1265,620.538,615.69104,680.4098,674.88916,692.62463
111,869.0,472.0,869.0,363.0,214.0,356.0,275.0,713.0,211.0,166.0,150.0,162.0,854.4154,886.65,822.4275,804.6461,718.76605,704.02527,671.9279,677.8138,644.1662,708.0506,710.6756,696.78815
112,472.0,869.0,363.0,214.0,356.0,275.0,713.0,211.0,166.0,150.0,162.0,163.0,890.86273,855.1204,793.53534,767.75024,650.8618,666.41266,690.75775,667.1886,637.8781,723.83234,726.7473,730.6884
113,869.0,363.0,214.0,356.0,275.0,713.0,211.0,166.0,150.0,162.0,163.0,195.0,719.2747,712.1428,677.7296,663.79706,588.6556,618.48663,631.6423,642.0083,643.2324,706.0748,698.7413,707.3357
114,363.0,214.0,356.0,275.0,713.0,211.0,166.0,150.0,162.0,163.0,195.0,164.0,754.0723,739.04114,697.1926,687.3265,602.4865,643.7891,678.77765,689.48944,665.7342,723.0306,729.8554,664.1122
115,214.0,356.0,275.0,713.0,211.0,166.0,150.0,162.0,163.0,195.0,164.0,220.0,601.8419,622.61774,627.88,653.5117,581.4751,640.52,692.93896,666.8759,645.79877,708.9784,675.28534,608.3818
116,356.0,275.0,713.0,211.0,166.0,150.0,162.0,163.0,195.0,164.0,220.0,266.0,480.0089,530.5677,581.9935,616.50134,566.3883,644.96716,655.30896,645.5428,626.1376,651.6152,621.6701,535.2769
117,275.0,713.0,211.0,166.0,150.0,162.0,163.0,195.0,164.0,220.0,266.0,330.0,490.98007,576.0611,608.0851,646.93713,587.5956,645.5041,671.00464,647.098,584.81647,611.45856,577.0312,477.9197
118,713.0,211.0,166.0,150.0,162.0,163.0,195.0,164.0,220.0,266.0,330.0,333.0,490.38126,556.6775,588.1805,633.0358,560.03455,623.21936,656.9418,599.92694,545.31616,554.8873,494.9626,460.15323
119,211.0,166.0,150.0,162.0,163.0,195.0,164.0,220.0,266.0,330.0,333.0,276.0,625.13086,666.0918,669.4317,662.44415,588.21564,659.0858,667.5204,592.6136,517.88153,494.41058,474.6098,388.61267
120,166.0,150.0,162.0,163.0,195.0,164.0,220.0,266.0,330.0,333.0,276.0,556.0,500.3148,540.76263,530.7606,585.34235,522.75024,578.6429,580.8191,484.14667,394.98315,434.56207,384.06787,326.24832
121,150.0,162.0,163.0,195.0,164.0,220.0,266.0,330.0,333.0,276.0,556.0,300.0,395.24432,426.00104,463.6038,528.71783,446.4519,497.9813,475.77045,379.72006,360.47607,377.1967,339.02826,304.13324
122,162.0,163.0,195.0,164.0,220.0,266.0,330.0,333.0,276.0,556.0,300.0,391.0,317.808,391.60223,434.05124,471.5293,397.70032,412.24408,382.52847,340.2993,313.3098,339.1655,323.80145,273.64474
