,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,true_step11,true_step12,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10,pred_step11,pred_step12
824,288.0,279.0,317.0,495.0,557.0,443.0,275.0,221.0,198.0,134.0,97.0,84.0,269.9207,303.99878,370.68408,382.21548,443.58685,430.06308,455.04703,455.11807,450.03058,458.08716,442.67773,447.34344
825,279.0,317.0,495.0,557.0,443.0,275.0,221.0,198.0,134.0,97.0,84.0,90.0,303.58362,328.12634,402.74252,394.0206,457.34555,439.59506,443.3988,446.1615,450.956,449.2423,438.03125,437.68167
826,317.0,495.0,557.0,443.0,275.0,221.0,198.0,134.0,97.0,84.0,90.0,103.0,297.99976,326.90662,408.19354,388.63293,462.9736,416.2663,426.0761,435.4898,433.4691,435.38812,408.54556,421.8832
827,495.0,557.0,443.0,275.0,221.0,198.0,134.0,97.0,84.0,90.0,103.0,103.0,325.5799,345.3507,405.72083,402.67752,454.51248,430.74808,434.84366,429.60522,421.84528,419.28784,403.83484,410.57718
828,557.0,443.0,275.0,221.0,198.0,134.0,97.0,84.0,90.0,103.0,103.0,93.0,434.5638,425.22076,486.98834,453.87173,502.87048,495.10513,490.11185,467.518,459.97742,467.5859,446.07263,457.51062
829,443.0,275.0,221.0,198.0,134.0,97.0,84.0,90.0,103.0,103.0,93.0,95.0,503.97446,490.29178,514.3299,481.13684,528.1102,502.9896,495.67032,473.81085,458.8425,455.83862,429.12582,445.2135
830,275.0,221.0,198.0,134.0,97.0,84.0,90.0,103.0,103.0,93.0,95.0,100.0,500.96954,472.9251,494.92987,492.58893,529.0901,512.4547,496.01172,459.83636,438.6852,446.8,429.05603,436.98138
831,221.0,198.0,134.0,97.0,84.0,90.0,103.0,103.0,93.0,95.0,100.0,93.0,393.9992,393.84424,444.63425,449.46234,497.45526,476.23883,461.2528,413.32455,403.53256,426.2729,394.6672,416.44513
832,198.0,134.0,97.0,84.0,90.0,103.0,103.0,93.0,95.0,100.0,93.0,68.0,318.55164,344.61444,393.06415,406.1347,451.0719,424.78165,412.52014,376.93832,371.52988,367.05215,349.29962,376.59058
833,134.0,97.0,84.0,90.0,103.0,103.0,93.0,95.0,100.0,93.0,68.0,60.0,288.0362,311.37256,365.56598,386.24585,425.16296,408.15778,399.7632,365.36295,360.9159,367.23706,366.52512,374.52222
834,97.0,84.0,90.0,103.0,103.0,93.0,95.0,100.0,93.0,68.0,60.0,83.0,215.84583,242.54572,300.49103,325.8838,373.1084,355.21268,355.26025,331.8429,328.67188,341.76828,339.87524,347.29922
