,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,true_step7,true_step8,true_step9,true_step10,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6,pred_step7,pred_step8,pred_step9,pred_step10
1455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.836834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.174152
1456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.836834,189.15167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.27935,228.64958
1457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.836834,189.15167,399.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.18297,252.91512,412.7846
1458,0.0,0.0,0.0,0.0,0.0,0.0,43.836834,189.15167,399.395,579.49835,0.0,0.0,0.0,0.0,0.0,0.0,93.01369,243.07054,419.73026,572.77435
1459,0.0,0.0,0.0,0.0,0.0,43.836834,189.15167,399.395,579.49835,725.1533,0.0,0.0,0.0,0.0,0.0,63.714466,234.71544,405.44537,578.1553,701.7645
1460,0.0,0.0,0.0,0.0,43.836834,189.15167,399.395,579.49835,725.1533,854.0933,0.0,0.0,0.0,0.0,45.398987,225.2377,407.49023,577.71704,713.98,810.3583
1461,0.0,0.0,0.0,43.836834,189.15167,399.395,579.49835,725.1533,854.0933,919.5,0.0,0.0,0.0,58.409676,228.04132,423.77188,597.7547,738.6796,839.27136,884.5235
1462,0.0,0.0,43.836834,189.15167,399.395,579.49835,725.1533,854.0933,919.5,929.56665,0.0,0.0,62.327213,243.11674,432.3089,618.04675,760.07227,871.36383,920.75305,902.0031
1463,0.0,43.836834,189.15167,399.395,579.49835,725.1533,854.0933,919.5,929.56665,868.13336,0.0,54.5464,237.45424,441.70273,622.9576,773.17,881.1035,935.7491,923.4749,872.5819
1464,43.836834,189.15167,399.395,579.49835,725.1533,854.0933,919.5,929.56665,868.13336,771.36664,54.076553,219.51143,423.1319,623.23737,773.6045,889.294,936.3094,917.61176,876.8147,776.7578
1465,189.15167,399.395,579.49835,725.1533,854.0933,919.5,929.56665,868.13336,771.36664,628.315,204.53532,393.9242,590.77155,757.4479,882.2994,938.65845,916.5418,859.994,772.58966,629.873
1466,399.395,579.49835,725.1533,854.0933,919.5,929.56665,868.13336,771.36664,628.315,468.315,374.13965,554.0898,713.48364,844.7235,916.6173,906.5768,851.7985,743.8448,615.5372,451.5592
1467,579.49835,725.1533,854.0933,919.5,929.56665,868.13336,771.36664,628.315,468.315,272.14667,559.84064,700.07513,827.03876,891.87494,894.69165,857.60425,754.9008,598.24335,448.5907,274.21448
1468,725.1533,854.0933,919.5,929.56665,868.13336,771.36664,628.315,468.315,272.14667,93.68467,707.03217,821.5451,894.27985,882.1814,849.4585,762.36163,616.98694,437.53928,274.1947,115.638245
1469,854.0933,919.5,929.56665,868.13336,771.36664,628.315,468.315,272.14667,93.68467,3.7328334,828.5181,894.317,901.2472,854.2758,761.0008,624.2924,457.21848,264.09705,110.84647,0.0
1470,919.5,929.56665,868.13336,771.36664,628.315,468.315,272.14667,93.68467,3.7328334,0.0,903.6729,903.23914,880.1443,778.2286,625.713,460.84244,285.66135,106.745705,0.0,0.0
1471,929.56665,868.13336,771.36664,628.315,468.315,272.14667,93.68467,3.7328334,0.0,0.0,914.89404,881.341,803.79895,654.62415,470.36932,288.02042,127.6921,0.0,0.0,0.0
1472,868.13336,771.36664,628.315,468.315,272.14667,93.68467,3.7328334,0.0,0.0,0.0,893.3318,799.1025,670.4528,500.3509,297.90054,122.97496,0.0,0.0,0.0,0.0
1473,771.36664,628.315,468.315,272.14667,93.68467,3.7328334,0.0,0.0,0.0,0.0,785.5891,643.61255,494.4042,318.18298,127.44773,0.0,0.0,0.0,0.0,0.0
1474,628.315,468.315,272.14667,93.68467,3.7328334,0.0,0.0,0.0,0.0,0.0,640.9477,480.51614,316.89636,153.66087,0.0,0.0,0.0,0.0,0.0,0.0
1475,468.315,272.14667,93.68467,3.7328334,0.0,0.0,0.0,0.0,0.0,0.0,473.90848,293.93652,137.43951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1476,272.14667,93.68467,3.7328334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.2435,117.61234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477,93.68467,3.7328334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.99051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1478,3.7328334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.761665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.761665,212.14667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.73183,182.09254
1481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.761665,212.14667,398.64667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.255043,214.07611,371.89774
1482,0.0,0.0,0.0,0.0,0.0,0.0,42.761665,212.14667,398.64667,578.8367,0.0,0.0,0.0,0.0,0.0,0.0,68.59767,217.74132,389.57962,542.5864
1483,0.0,0.0,0.0,0.0,0.0,42.761665,212.14667,398.64667,578.8367,734.00836,0.0,0.0,0.0,0.0,0.0,52.56394,222.20288,387.15393,557.7128,680.82135
1484,0.0,0.0,0.0,0.0,42.761665,212.14667,398.64667,578.8367,734.00836,848.8333,0.0,0.0,0.0,0.0,52.018314,228.8858,405.21515,571.925,704.5665,800.825
1485,0.0,0.0,0.0,42.761665,212.14667,398.64667,578.8367,734.00836,848.8333,911.05,0.0,0.0,0.0,70.2697,238.408,422.9521,591.36316,729.5173,828.666,871.0964
1486,0.0,0.0,42.761665,212.14667,398.64667,578.8367,734.00836,848.8333,911.05,910.6,0.0,0.0,70.96205,247.7272,425.321,600.0197,735.7188,846.36707,893.65686,873.9845
1487,0.0,42.761665,212.14667,398.64667,578.8367,734.00836,848.8333,911.05,910.6,859.51666,0.0,59.294586,241.34169,436.81787,605.8314,750.39014,856.4404,910.3474,896.5374,848.5861
1488,42.761665,212.14667,398.64667,578.8367,734.00836,848.8333,911.05,910.6,859.51666,760.12335,60.454636,225.00882,418.7298,608.75397,750.07605,866.3332,911.9297,894.29095,854.0579,762.82996
1489,212.14667,398.64667,578.8367,734.00836,848.8333,911.05,910.6,859.51666,760.12335,614.34,199.99097,380.70795,568.2064,728.4367,853.2959,912.00806,892.2087,840.3591,761.2254,622.8388
1490,398.64667,578.8367,734.00836,848.8333,911.05,910.6,859.51666,760.12335,614.34,438.50168,383.44748,552.75555,706.3011,836.37866,906.20013,898.17615,844.827,744.74304,619.5811,454.28702
1491,578.8367,734.00836,848.8333,911.05,910.6,859.51666,760.12335,614.34,438.50168,248.24333,543.1599,681.8595,811.08673,875.5601,879.48804,846.2606,752.0287,601.1702,454.82217,278.54752
1492,734.00836,848.8333,911.05,910.6,859.51666,760.12335,614.34,438.50168,248.24333,73.9485,698.9263,815.5189,889.8287,879.38135,837.337,756.38635,613.0609,437.1273,273.83347,115.16
1493,848.8333,911.05,910.6,859.51666,760.12335,614.34,438.50168,248.24333,73.9485,2.8046668,830.4144,898.4319,906.84576,850.8614,751.21674,614.4169,450.48654,255.20186,104.34888,0.0
1494,911.05,910.6,859.51666,760.12335,614.34,438.50168,248.24333,73.9485,2.8046668,0.0,901.1978,904.91125,876.46643,769.73663,611.983,448.0651,275.05017,91.66059,0.0,0.0
1495,910.6,859.51666,760.12335,614.34,438.50168,248.24333,73.9485,2.8046668,0.0,0.0,909.1093,871.2169,793.14276,640.6984,455.1005,268.6222,109.21927,0.0,0.0,0.0
1496,859.51666,760.12335,614.34,438.50168,248.24333,73.9485,2.8046668,0.0,0.0,0.0,873.1886,781.5112,654.2911,483.6402,277.66922,97.7003,0.0,0.0,0.0,0.0
1497,760.12335,614.34,438.50168,248.24333,73.9485,2.8046668,0.0,0.0,0.0,0.0,773.62506,632.55634,483.42307,304.94214,109.39023,0.0,0.0,0.0,0.0,0.0
1498,614.34,438.50168,248.24333,73.9485,2.8046668,0.0,0.0,0.0,0.0,0.0,628.6371,466.8184,304.46326,138.62648,0.0,0.0,0.0,0.0,0.0,0.0
1499,438.50168,248.24333,73.9485,2.8046668,0.0,0.0,0.0,0.0,0.0,0.0,458.1672,276.72366,120.10228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,248.24333,73.9485,2.8046668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.98523,89.344055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1501,73.9485,2.8046668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.46137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1502,2.8046668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.362667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.362667,188.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886202,153.40678
1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.362667,188.405,374.60834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.730436,175.56985,329.87515
