,true_step1,true_step2,true_step3,true_step4,true_step5,true_step6,pred_step1,pred_step2,pred_step3,pred_step4,pred_step5,pred_step6
625,40.0,22.0,18.0,9.0,33.0,33.0,95.894135,119.03592,118.23964,125.03558,154.19077,186.5888
626,22.0,18.0,9.0,33.0,33.0,34.0,87.72377,116.333435,120.92445,126.260216,148.61555,174.68103
627,18.0,9.0,33.0,33.0,34.0,36.0,65.450836,93.596306,101.47998,104.65958,119.462875,148.49673
628,9.0,33.0,33.0,34.0,36.0,50.0,44.61448,71.42327,75.00101,73.74427,86.96971,111.04048
629,33.0,33.0,34.0,36.0,50.0,58.0,21.09047,45.001198,45.803165,42.282654,48.04045,78.054756
630,33.0,34.0,36.0,50.0,58.0,74.0,56.683514,71.26123,63.854218,49.423233,52.650486,84.1216
631,34.0,36.0,50.0,58.0,74.0,93.0,67.46253,76.667755,62.2924,51.94871,54.862896,85.31678
632,36.0,50.0,58.0,74.0,93.0,89.0,68.327255,72.32515,61.75309,53.09579,54.420315,77.70446
633,50.0,58.0,74.0,93.0,89.0,76.0,58.856113,69.27848,60.44006,49.78487,50.503986,74.08235
634,58.0,74.0,93.0,89.0,76.0,60.0,75.53368,83.89515,74.35293,56.333843,57.02533,89.464226
635,74.0,93.0,89.0,76.0,60.0,45.0,90.521706,95.871254,83.32066,66.21849,75.95576,102.33525
636,93.0,89.0,76.0,60.0,45.0,43.0,107.49266,109.89321,97.99886,88.06306,97.76025,124.89064
637,89.0,76.0,60.0,45.0,43.0,46.0,126.9107,133.469,126.61133,112.79657,132.02951,156.10446
638,76.0,60.0,45.0,43.0,46.0,57.0,130.19156,144.45557,134.66064,130.6281,153.23546,179.8107
639,60.0,45.0,43.0,46.0,57.0,68.0,121.06363,137.06935,133.26164,131.1506,157.2087,175.98434
640,45.0,43.0,46.0,57.0,68.0,77.0,104.09573,132.07051,127.53709,124.707146,143.0146,160.55252
641,43.0,46.0,57.0,68.0,77.0,76.0,101.37148,123.62532,120.86575,106.26925,123.349884,140.1219
642,46.0,57.0,68.0,77.0,76.0,79.0,102.588356,123.88939,110.64909,90.3172,108.42343,126.293816
643,57.0,68.0,77.0,76.0,79.0,77.0,112.21765,124.09666,107.387726,83.06662,101.71769,113.804886
644,68.0,77.0,76.0,79.0,77.0,62.0,114.73955,127.409035,107.92026,77.35193,98.461624,105.97825
645,77.0,76.0,79.0,77.0,62.0,47.0,128.69504,139.34534,116.47393,83.49549,103.46316,113.046364
646,76.0,79.0,77.0,62.0,47.0,46.0,137.10112,145.21448,120.24798,83.19592,108.22808,125.90571
647,79.0,77.0,62.0,47.0,46.0,47.0,134.935,138.51846,113.85007,80.35812,111.22657,132.09027
648,77.0,62.0,47.0,46.0,47.0,43.0,130.41785,134.87102,115.395134,81.26478,116.80067,139.46721
649,62.0,47.0,46.0,47.0,43.0,58.0,124.778786,132.92572,112.95491,79.36549,120.50595,152.23878
650,47.0,46.0,47.0,43.0,58.0,72.0,113.7779,116.711334,99.89373,70.2265,120.39481,161.59366
651,46.0,47.0,43.0,58.0,72.0,76.0,95.170006,99.709885,83.78638,57.319305,118.89813,162.19403
652,47.0,43.0,58.0,72.0,76.0,89.0,86.960556,91.60477,77.24599,53.28905,117.60524,161.75092
653,43.0,58.0,72.0,76.0,89.0,73.0,88.94548,89.30803,75.56695,50.99477,116.57123,164.98868
654,58.0,72.0,76.0,89.0,73.0,57.0,90.01276,92.013016,77.751175,58.50234,121.32717,165.43015
655,72.0,76.0,89.0,73.0,57.0,51.0,105.93964,110.41331,93.18346,71.25261,130.2082,168.67542
656,76.0,89.0,73.0,57.0,51.0,59.0,130.53905,134.95093,108.97496,85.60218,139.85847,175.7767
657,89.0,73.0,57.0,51.0,59.0,71.0,142.28014,142.04697,109.53312,85.284706,136.67598,179.58588
658,73.0,57.0,51.0,59.0,71.0,72.0,145.75972,143.57416,102.81199,78.85793,133.0564,179.94814
659,57.0,51.0,59.0,71.0,72.0,68.0,131.4214,124.76462,81.06589,62.43722,120.04988,172.3842
660,51.0,59.0,71.0,72.0,68.0,66.0,112.78578,104.067764,61.998165,45.501015,108.518,166.83774
661,59.0,71.0,72.0,68.0,66.0,79.0,102.10537,94.530914,52.502125,38.122425,106.54887,167.57893
662,71.0,72.0,68.0,66.0,79.0,77.0,109.66654,104.635506,62.72089,49.182404,121.18908,182.95209
663,72.0,68.0,66.0,79.0,77.0,74.0,128.09988,125.452866,83.22686,72.573494,147.04247,207.7451
664,68.0,66.0,79.0,77.0,74.0,82.0,138.41881,137.65703,97.84606,93.4771,166.71596,226.94516
665,66.0,79.0,77.0,74.0,82.0,73.0,139.54607,145.46454,108.48952,107.45293,176.56567,235.67229
666,79.0,77.0,74.0,82.0,73.0,87.0,143.26921,152.64029,115.97256,113.44653,176.96094,234.21227
667,77.0,74.0,82.0,73.0,87.0,117.0,156.95312,166.2507,126.87577,117.86395,175.98203,233.5679
668,74.0,82.0,73.0,87.0,117.0,122.0,165.23975,170.77005,128.47308,114.43995,170.82251,236.82956
669,82.0,73.0,87.0,117.0,122.0,110.0,165.85287,165.95401,121.26026,106.26522,169.80653,239.80928
670,73.0,87.0,117.0,122.0,110.0,116.0,164.8362,163.35263,117.81866,109.09219,176.19853,246.09756
671,87.0,117.0,122.0,110.0,116.0,97.0,155.04402,152.7008,113.84707,109.19653,180.47871,248.4843
672,117.0,122.0,110.0,116.0,97.0,83.0,158.02437,161.12338,123.3636,119.46365,193.85068,255.94447
